Title,company,link,description,years_of_experience,job_category,location,job_id,posted_date
Chemical Data Engineer,SLB,https://www.linkedin.com/jobs/search/?keywords=Chemical%20Data%20Engineer,We are looking for a highly motivated Chemical Data Engineer to join our team. You will design and build scalable data pipelines for chemical analysis and reporting workflows.,3,Data Engineer,Houston TX,58201,2025-06-27
Data Engineer,Underdog.io,https://www.linkedin.com/jobs/search/?keywords=Data%20Engineer+Underdog,We are The First Data Engineer at Underdog.io. You will own the data infrastructure end-to-end and partner closely with product and growth teams.,3,Data Engineer,New York NY,58202,2025-06-26
IT Data Engineer,Novolex,https://www.linkedin.com/jobs/search/?keywords=IT+Data+Engineer+Novolex,We are seeking a highly motivated Data Engineer to build and maintain enterprise data platforms for supply chain and manufacturing analytics.,3,Data Engineer,Hartsville SC,58203,2025-06-25
Data Engineer (Tampa),TECO Peoples Gas,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+Tampa+TECO,Job Title: Data Engineer (Tampa). You will design and implement data pipelines using modern cloud technologies to support utility operations analytics.,3,Data Engineer,Tampa FL,58204,2025-06-24
Data Engineer II,Chewy,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+Chewy,Chewy's AI & Data organization is growing. You will build high-quality scalable pipelines to support our pet care e-commerce analytics and personalization.,6,Data Engineer,Plantation FL,58205,2025-06-24
Data Engineer (GCP),HTC Global Services,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+GCP+HTC,Job Title: GCP Data Engineer. You will architect and implement Google Cloud Platform-based data solutions for our enterprise clients.,5,Data Engineer,Troy MI,58206,2025-06-23
Data Engineer II,Thornton,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+Thornton,The Data Engineer builds, maintains, and transforms data pipelines and warehouses to support product analytics, experimentation, and reporting.',5,Data Engineer,Chicago IL,58207,2025-06-23
Senior Data Engineer,Alaffia Health,https://www.linkedin.com/jobs/search/?keywords=Senior+Data+Engineer+Alaffia,Alaffia Health is a healthcare AI startup. We are looking for a Senior Data Engineer to lead our data platform strategy and build scalable cloud data pipelines.,3,Data Engineer,Austin TX,58208,2025-06-22
ETL Developer | Data Acquisition,Susquehanna International Group,https://www.linkedin.com/jobs/search/?keywords=ETL+Developer+Susquehanna,Susquehanna is looking for an ETL Developer specializing in data acquisition and distribution to build high-performance financial data pipelines.,0,Data Engineer,Philadelphia PA,58209,2025-06-22
Data Engineer,Cogogami,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+Cogogami,As a successful candidate you will be responsible for designing and implementing data solutions that enable better decision-making for our clients.,3,Data Engineer,Remote,58210,2025-06-21
Sr. Data Engineer,WellSky,https://www.linkedin.com/jobs/search/?keywords=Sr+Data+Engineer+WellSky,The Sr Data Engineer is responsible for developing and maintaining scalable data pipelines that support healthcare analytics and business intelligence.,4,Data Engineer,Overland Park KS,58218,2025-06-21
Senior Data Engineer,The Weather Company,https://www.linkedin.com/jobs/search/?keywords=Senior+Data+Engineer+Weather+Company,We're seeking a Senior Data Engineer to design and implement the next generation of real-time data pipelines for weather data products.,0,Data Engineer,Atlanta GA,58212,2025-06-20
Senior Data Engineer,WellRhythms Inc.,https://www.linkedin.com/jobs/search/?keywords=Senior+Data+Engineer+WellRhythms,We are looking for a Senior Data Engineer to join WellRhythms. You will build robust data infrastructure for our digital health platform.,0,Data Engineer,Boston MA,58213,2025-06-20
Data Engineer,Joint Commission,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+Joint+Commission,The Data Engineer is responsible for designing and implementing data pipelines that support quality metrics and accreditation reporting for Joint Commission.,3,Data Engineer,Oakbrook Terrace IL,58214,2025-06-20
Data Engineer,Abternamy Inc,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer+Abternamy,The Data Engineer is a key position responsible for building and maintaining data pipelines and analytical solutions used across the organization.,3,Data Engineer,Dallas TX,58215,2025-06-19
Sr. Data Engineer,Oliver James,https://www.linkedin.com/jobs/search/?keywords=Sr+Data+Engineer+Oliver+James,Senior Data Engineer - Nashville. You will architect and maintain scalable ETL pipelines and data warehousing solutions for financial services clients.,5,Data Engineer,Nashville TN,58216,2025-06-19
Staff Data Engineer,Seru Recruitment,https://www.linkedin.com/jobs/search/?keywords=Staff+Data+Engineer+Seru,Staff Data Engineer (Data Pipelines). This senior IC role is responsible for designing and owning mission-critical data infrastructure.,5,Data Engineer,San Francisco CA,58217,2025-06-18
Sr. Data Engineer,Asahi Kasei,https://www.linkedin.com/jobs/search/?keywords=Sr+Data+Engineer+Asahi,Senior Company: Asahi Kasei America Inc. You will drive the technical direction of data engineering initiatives for our US operations.,5,Data Engineer,Alpharetta GA,58219,2025-06-18
Senior Data Engineer,CGVU,https://www.linkedin.com/jobs/search/?keywords=Senior+Data+Engineer+CGVU,We are seeking an experienced and results-driven Senior Data Engineer to join our team and lead the development of enterprise data solutions.,5,Data Engineer,Remote,58220,2025-06-18
Senior Data Engineer,Valvoline Global Operations,https://www.linkedin.com/jobs/search/?keywords=Senior+Data+Engineer+Valvoline,We are seeking a highly skilled and motivated Senior Data Engineer to join our global analytics team and help shape our data strategy.,5,Data Engineer,Lexington KY,58221,2025-06-17
Senior Data Infrastructure Engineer I - Tech Lead,Dandy,https://www.linkedin.com/jobs/search/?keywords=Senior+Data+Infrastructure+Engineer+Dandy,Dandy is hiring a Senior Data Infrastructure Engineer Tech Lead to oversee data platform architecture and mentor a team of engineers.,5,Data Engineer,New York NY,58222,2025-06-17
